,,,,,,,,
Параметры:,,,Начало периода: 01.01.2016 0:00:00,,,,,
,,,Конец периода: 31.12.2016 23:59:59,,,,,
,,,Склады: Щука,,,,,
,,,,,,,,
Период,,Склад,,Номенклатура,,Код,Количество начальный остаток,Количество расход
02.01.2016,,Щука,,Шоколад Оральное удовольствие,,99-00000596,11.000,1.000
02.01.2016,,Щука,,Шоколад Смайлик желтый,,99-00000603,18.000,1.000
03.01.2016,,Щука,,Автовизитка Водителю,,99-00000240,3.000,1.000
03.01.2016,,Щука,,Ароматизатор 100% мужик,,01-00002332,6.000,1.000
03.01.2016,,Щука,,Ароматизатор Не ссы доедем Котэ ,,01-00002281,28.000,1.000
03.01.2016,,Щука,,Батарейки мизинчиковые ААА  LR03 12 в уп. батарейка,,УТ000001012,308.000,3.000
03.01.2016,,Щука,,Батарейки пальчиковые АА  LR06 16 в уп. батарейка,,УТ000001013,353.000,3.000
03.01.2016,,Щука,,Бумага крафт Сердце Поздравляю (лист) 20 шт/уп,,99-00000797,13.000,1.000
03.01.2016,,Щука,,Вентилятор Цветок usb,,СК-00000014,2.000,2.000
03.01.2016,,Щука,,Держатель для проводов Жираф,,01-00001239,3.000,1.000
03.01.2016,,Щука,,"Жвачка ""Love is..."" блок МИКС в кор 20 блоков",,01-00003496,79.000,2.000
03.01.2016,,Щука,,"Жвачка ""Love is..."" блок один вкус",,УТ-00000024,123.000,1.000
03.01.2016,,Щука,,ИА Заяц Бутон,,99-00000643,4.000,1.000
03.01.2016,,Щука,,ИА Обезьяна Счастье есть(30 см),,99-00001684,2.000,1.000
03.01.2016,,Щука,,ИА Пёс,,01-00001431,5.000,1.000
03.01.2016,,Щука,,Игра Дженга (Джанга) Башня,,01-00003194,5.000,1.000
03.01.2016,,Щука,,Игра Крокодил,,00-00000004,9.000,3.000
03.01.2016,,Щука,,Игра Чисто английское убийство,,99-00000552,12.000,1.000
03.01.2016,,Щука,,Карты мафия,,УТ000000862,25.000,1.000
03.01.2016,,Щука,,Конструктор Дарт Вейдер,,99-00001226,2.000,1.000
03.01.2016,,Щука,,Конфетти С днем рождения!,,99-00001548,14.000,1.000
03.01.2016,,Щука,,Копилка Бензобак,,СК-00000158,2.000,1.000
03.01.2016,,Щука,,Копилка Лабиринт,,СК-00000220,1.000,1.000
03.01.2016,,Щука,,Кружка Баррель нефти (с термослоем),,00-00000114,2.000,1.000
03.01.2016,,Щука,,Кружка в вязаном чехле Тепла и уюта,,99-00000131,1.000,1.000
03.01.2016,,Щука,,Кружка Объектив с крышкой-линзой металлическая,,СК-00000715,3.000,1.000
03.01.2016,,Щука,,Кружка Царь всея земли,,99-00000354,2.000,1.000
03.01.2016,,Щука,,Кубок Звезда Золотой папа ,,99-00000213,4.000,1.000
